ensembl	symbol	DM_48h_1	DM_48h_2	DM_48h_3	GiB_48h_1	GiB_48h_2	GiB_48h_3
ENSG00000094804	CDC6	1400.653688	844.3336872	826.6944615	989.5173874	934.9237432	1753.017544
ENSG00000094841	UPRT	351.2190096	298.0795968	375.629219	345.3481419	345.5568713	270.3334818
ENSG00000094880	CDC23	2047.60106	1622.831747	1742.819961	1645.5215	1766.203794	1897.004445
ENSG00000094914	AAAS	1046.735389	1147.40578	1166.429887	1223.5673	1228.197175	1202.903936
ENSG00000094916	CBX5	7841.86601	7370.418364	7315.944643	7972.479504	7839.349633	9542.174711
ENSG00000094963	FMO2	0.925621473	0	0	0	0	0
ENSG00000094975	SUCO	1900.98702	1914.099448	1901.801171	1924.828022	1836.874581	2029.77643
ENSG00000095002	MSH2	1620.697296	1354.76982	1432.798303	1515.380047	1362.79713	1877.604286
ENSG00000095015	MAP3K1	719.4746345	739.3230872	773.1796085	825.990678	781.6883441	726.785163
ENSG00000095059	DHPS	629.4415691	586.2074457	601.9761979	559.0818852	628.7469255	607.3220045
ENSG00000095066	HOOK2	157.1897994	224.770165	170.4952885	227.1711807	241.1122503	206.5725741
ENSG00000095139	ARCN1	10704.34818	8444.505997	8981.343287	8928.488906	8848.731884	11569.59021
ENSG00000095203	EPB41L4B	31.11150626	33.44894262	26.78338694	31.52622972	39.87232756	29.26743529
ENSG00000095209	TMEM38B	231.4134505	264.2368505	246.5718328	232.5617741	259.5099453	221.7712808
ENSG00000095261	PSMD5	3416.388909	1456.849179	1466.759456	1791.610781	1552.746957	3866.464302
ENSG00000095303	PTGS1	977.7960505	1000.228128	951.8827885	1149.447747	1201.778686	1217.149248
ENSG00000095319	NUP188	2876.822392	3109.256732	3067.297096	3271.193737	3366.302072	3192.158002
ENSG00000095321	CRAT	536.1671087	577.3639045	698.4891618	611.5761258	672.6811024	551.6804864
ENSG00000095370	SH2D3C	3000.950324	3725.039354	3700.040959	3518.255815	3681.237105	3116.770638
ENSG00000095380	NANS	1278.247541	1062.779403	1028.631673	1079.804067	1136.673132	1277.057454
ENSG00000095383	TBC1D2	85.10951318	133.7576444	130.2953611	130.748592	129.8647068	106.1368692
ENSG00000095397	WHRN	25.43960511	36.08225211	44.59777014	53.25280978	45.61490299	37.60670048
ENSG00000095464	PDE6C	0.917707911	0	0	0	0	0.960779699
ENSG00000095485	CWF19L1	1129.019884	795.2094363	692.5561808	815.1783431	881.0490313	1105.292785
