ensembl	symbol	A549-DMSO-A	A549-DMSO-B	A549-DMSO-C	A549-DMSO-D	A549-GiB-B	A549-GiB-C	A549-GiB-D
ENSG00000159352	PSMD4	5894.78062939593	5725.31141145407	5302.13833679315	5738.04737849051	5761.77707314289	5753.92390682283	5622.83458838293
ENSG00000159363	ATP13A2	1629.89743030571	1621.7418446909	1783.13259398823	1705.58112436122	1587.83316894683	1567.29097466401	1531.03643805151
ENSG00000159374	M1AP	0	0	0	1.15247181988925	0	0	0
ENSG00000159377	PSMB4	5685.00930047176	5795.59359588223	5298.38886175516	6027.15840129391	5886.85803562379	5804.26748738605	5694.09292378782
ENSG00000159387	IRX6	1.65589215553244	0.967188491496454	1.6424154598973	0	0	0	0
ENSG00000159388	BTG2	462.006842513611	456.736188441821	438.181005489659	451.930925333434	406.703522665783	417.173550422648	462.513687415481
ENSG00000159399	HK2	85.7542675576212	116.256070749946	151.128039949883	139.256256801854	100.466615252669	129.968920542311	84.3232660722204
ENSG00000159403	C1R	1683.70040631305	1410.88342358313	1759.06849253601	1479.68268994972	1264.6166332316	1508.03714149829	1228.03825818276
ENSG00000159409	CELF3	8.03838181027157	4.73827402432511	4.04786782396491	7.88961266176364	1.01549793037545	9.77606568485588	11.5934868329799
ENSG00000159423	ALDH4A1	937.064719354273	1020.05533627988	955.751812402249	997.241681792893	1054.64938361354	996.451251069168	979.148383942793
ENSG00000159433	STARD9	198.820288700021	193.481348672718	223.648049409122	202.707572272716	176.065002976239	223.614468074461	204.511915584521
ENSG00000159445	THEM4	527.478727131627	615.325893808124	575.290798486899	471.059209161407	556.962884335681	556.79739882061	467.35447689764
ENSG00000159450	TCHH	30.1276816343478	44.3740388184536	26.5996469905707	44.4811239024076	30.0716632552343	41.9665888816926	39.2155535084516
ENSG00000159459	UBR1	916.398758182776	913.760318602766	959.197039871409	818.629504303543	950.109858639598	914.817745539198	913.424070754025
