ensembl	symbol	A549-DMSO-A	A549-DMSO-B	A549-DMSO-C	A549-DMSO-D	A549-GiB-B	A549-GiB-C	A549-GiB-D
ENSG00000179021	C3orf38	965	818	931	716	753	843	660
ENSG00000179023	KLHDC7A	414	365	415	301	340	357	237
ENSG00000179029	TMEM107	629	509	646	456	514	448	360
ENSG00000179041	RRS1	3337	3006	3165	2428	2854	3006	2368
ENSG00000179044	EXOC3L1	6	9	5	3	7	5	4
ENSG00000179046	TRIML2	676	613	703	566	643	653	527
ENSG00000179051	RCC2	7109	6256	7764	5197	5846	6047	4782
ENSG00000179058	C9orf50	3	5	2	3	6	8	3
ENSG00000179059	ZFP42	10	11	9	7	3	7	5
ENSG00000179071	CCDC89	0	0	0	0	0	0	1
ENSG00000179083	FAM133A	86	65	71	60	61	84	44
ENSG00000179085	DPM3	902	813	949	689	735	773	614
ENSG00000179088	C12orf42	0	0	1	0	0	0	0
ENSG00000179091	CYC1	9033	7755	9328	6766	7326	7522	5923
ENSG00000179094	PER1	448	443	446	374	364	366	262
ENSG00000179097	HTR1F	12	12	7	12	6	7	5
ENSG00000179104	TMTC2	1038	940	898	656	803	873	769
ENSG00000179111	HES7	126	127	144	102	91	92	71
ENSG00000179115	FARSA	3815	3532	3776	3096	3228	3375	2618
ENSG00000179119	SPTY2D1	1896	1638	2162	1354	1543	1731	1296
ENSG00000179133	C10orf67	1	0	0	2	1	1	1
ENSG00000179134	SAMD4B	7974	6825	8066	5659	6316	6429	5293
ENSG00000179148	ALOXE3	23	19	25	23	16	14	14
ENSG00000179151	EDC3	1206	1093	1199	879	1009	1002	799
ENSG00000179152	TCAIM	516	323	400	280	276	455	323
ENSG00000179163	FUCA1	720	604	723	530	555	613	464
ENSG00000179165	PXT1	3	2	3	2	0	3	1
ENSG00000179168	GGN	63	69	80	38	37	48	43
ENSG00000179172	HNRNPCL1	0	0	0	0	1	0	0
ENSG00000179195	ZNF664	6884	6084	6660	4471	5564	5814	4669
ENSG00000179218	CALR	38037	33173	37349	28740	29615	31035	24236
ENSG00000179222	MAGED1	5809	4784	6049	4356	4318	4518	3618
ENSG00000179240	GVQW3	356	319	360	248	301	305	262
ENSG00000179241	LDLRAD3	868	726	889	635	747	726	654
ENSG00000179242	CDH4	272	234	294	207	204	224	147
ENSG00000179256	SMCO3	5	0	7	0	0	0	0
ENSG00000179262	RAD23A	3787	3116	3490	2935	3064	3362	2630
