ensembl	symbol	A375MA2-DMSO-A	A375MA2-DMSO-B	A375MA2-DMSO-C	A375MA2-DMSO-D	A375MA2-GiB-A	A375MA2-GiB-B	A375MA2-GiB-D
ENSG00000147383	NSDHL	313	510	357	343	399	385	497
ENSG00000147394	ZNF185	31	66	40	31	41	29	40
ENSG00000147400	CETN2	362	520	359	294	570	550	652
ENSG00000147403	RPL10	27163	47361	28628	27248	38305	39037	46569
ENSG00000147408	CSGALNACT1	2076	3630	1869	1941	2029	1988	2214
ENSG00000147416	ATP6V1B2	3006	5116	3143	3104	4534	4276	5209
ENSG00000147419	CCDC25	1328	2282	1373	1332	1419	1349	1437
ENSG00000147421	HMBOX1	339	494	275	323	396	371	467
ENSG00000147434	CHRNA6	18	14	10	7	4	12	18
ENSG00000147437	GNRH1	30	36	12	36	25	23	27
ENSG00000147439	BIN3	3142	5126	3122	3078	4599	4364	5446
ENSG00000147443	DOK2	0	0	0	0	0	2	0
ENSG00000147454	SLC25A37	1308	2129	1094	1116	1201	1090	1242
ENSG00000147457	CHMP7	523	783	409	546	659	627	918
ENSG00000147459	DOCK5	2017	3070	1752	1910	2205	2245	2742
ENSG00000147465	STAR	6	6	1	4	7	4	6
ENSG00000147471	PLPBP	563	858	568	520	867	848	1074
ENSG00000147475	ERLIN2	943	1468	883	889	1315	1165	1467
ENSG00000147481	SNTG1	0	0	0	0	0	0	1
ENSG00000147485	PXDNL	30	40	18	8	9	22	16
ENSG00000147509	RGS20	82	221	129	140	148	172	166
ENSG00000147526	TACC1	2009	3089	1893	2041	3608	3480	4656
ENSG00000147533	GOLGA7	1296	2043	1251	1258	1922	1727	2193
ENSG00000147535	PLPP5	269	479	262	303	387	393	476
ENSG00000147536	GINS4	994	1680	1089	1090	2014	1726	2464
ENSG00000147548	NSD3	2326	3700	2033	2255	2842	2706	3403
ENSG00000147576	ADHFE1	3	8	0	0	7	3	0
ENSG00000147586	MRPS28	753	1264	795	780	1131	1130	1423
ENSG00000147588	PMP2	4	4	4	3	8	6	25
ENSG00000147592	LACTB2	789	1299	813	800	908	936	1138
ENSG00000147601	TERF1	698	1422	860	851	1515	1356	1811
ENSG00000147604	RPL7	31237	53597	33067	30083	41237	41652	49366
ENSG00000147614	ATP6V0D2	0	2	0	0	1	1	0
ENSG00000147642	SYBU	27	59	20	25	56	41	45
ENSG00000147647	DPYS	0	1	0	0	1	1	6
ENSG00000147649	MTDH	8591	13723	8100	8270	11048	10374	12460
ENSG00000147650	LRP12	1236	2058	1177	1290	1661	1714	2116
ENSG00000147654	EBAG9	291	470	286	276	380	340	358
ENSG00000147655	RSPO2	0	1	1	0	0	0	0
ENSG00000147669	POLR2K	1230	1958	1154	1166	2001	1910	2492
ENSG00000147676	MAL2	2	2	2	2	3	1	4
ENSG00000147677	EIF3H	7740	13047	7653	7306	8600	8778	10003
