ensembl	symbol	IPC-DMSO-A	IPC-DMSO-B	IPC-DMSO-C	IPC-DMSO-D	IPC-GiB-A	IPC-GiB-B	IPC-GiB-C
ENSG00000166233	ARIH1	1517	2158	1203	1706	1292	1277	1437
ENSG00000166246	DNAAF8	5	0	7	3	4	2	4
ENSG00000166250	CLMP	15	15	11	20	9	4	10
ENSG00000166257	SCN3B	2	1	1	2	2	0	1
ENSG00000166260	COX11	532	870	377	461	298	369	465
ENSG00000166261	ZNF202	387	527	284	391	283	288	317
ENSG00000166262	FAM227B	42	54	51	49	41	39	28
ENSG00000166263	STXBP4	576	820	522	725	540	591	584
ENSG00000166265	CYYR1	0	0	0	1	0	0	0
ENSG00000166266	CUL5	1684	2398	1496	2057	1336	1532	1570
ENSG00000166272	WBP1L	1276	1624	928	1509	951	1027	1048
ENSG00000166275	BORCS7	520	678	380	473	332	382	490
ENSG00000166278	C2	11	30	9	14	8	13	10
ENSG00000166289	PLEKHF1	847	1102	659	824	576	681	701
ENSG00000166292	TMEM100	1	3	1	2	2	4	4
ENSG00000166295	ANAPC16	1388	1981	1101	1661	1083	1183	1371
ENSG00000166311	SMPD1	1556	1987	1192	1731	1074	1207	1147
ENSG00000166313	APBB1	2164	3025	1874	2740	1564	1737	1819
ENSG00000166317	SYNPO2L	8	13	6	9	8	6	7
ENSG00000166321	NUDT13	126	226	123	186	163	113	116
ENSG00000166323	C11orf65	8	11	4	17	13	13	22
