ensembl	symbol	D15-shGCN2-5BM	D15-shGCN2-5NM	D15-shGCN2-6BM	D15-shGCN2-6NM	D15-shScr-1BM	D15-shScr-1L1	D15-shScr-1R1	D15-shScr-2L1
ENSG00000007264	MATK	1	0	2	2	0	1	0	0
ENSG00000007306	CEACAM7	0	2	0	0	0	0	0	0
ENSG00000007312	CD79B	0	0	16	7	0	0	0	0
ENSG00000007314	SCN4A	1	5	1	2	1	2	2	1
ENSG00000007341	ST7L	42	67	86	48	43	35	38	37
ENSG00000007350	TKTL1	0	1	3	0	0	1	2	0
ENSG00000007372	PAX6	2	0	0	0	0	2	0	0
ENSG00000007376	RPUSD1	1712	1656	2153	1693	994	707	936	1035
ENSG00000007384	RHBDF1	985	981	1056	728	678	917	1096	725
ENSG00000007392	LUC7L	638	580	547	602	462	760	566	507
ENSG00000007402	CACNA2D2	12	0	3	3	1	3	1	4
ENSG00000007516	BAIAP3	3	20	17	19	37	18	40	22
ENSG00000007520	TSR3	1639	1719	1892	1621	1248	959	1252	1326
ENSG00000007541	PIGQ	584	684	868	512	508	396	366	488
ENSG00000007545	CRAMP1	692	681	744	539	536	404	697	466
ENSG00000007866	TEAD3	339	388	419	336	254	165	227	200
ENSG00000007923	DNAJC11	1487	1808	2141	1312	884	626	757	940
ENSG00000007933	FMO3	2	0	1	0	0	1	0	0
ENSG00000007944	MYLIP	113	133	125	89	155	168	88	83
ENSG00000007952	NOX1	7	1	5	13	4	5	3	9
ENSG00000007968	E2F2	144	154	182	105	110	68	56	76
ENSG00000008018	PSMB1	3179	3538	3828	3257	2280	1894	2091	2618
ENSG00000008056	SYN1	23	5	23	14	15	11	3	16
ENSG00000008083	JARID2	532	597	575	420	422	398	411	364
ENSG00000008086	CDKL5	70	75	63	41	74	72	49	33
ENSG00000008118	CAMK1G	39	39	46	59	12	21	22	9
ENSG00000008128	CDK11A	868	872	798	751	591	878	851	581
ENSG00000008130	NADK	1755	1585	1878	1569	1082	1005	1029	1251
ENSG00000008196	TFAP2B	161	86	6	22	256	480	4	286
