protein_ids,symbols,description,log2FoldChange,log2_GiB,log2_DMSO,statistic,p.value,parameter,conf.low,conf.high,method,alternative,padj
E9PLP0,CARS,NA,0.07694512349372928,16.913983407259714,16.837038283765985,1.137316781695934,0.33795851748251937,3.0026081686521064,-0.13825739505922946,0.2921476420466881,Welch Two Sample t-test,two.sided,0.41680490726207237
Q92543;E9PLV3;E9PJV7,SNX19,Sorting nexin-19,0.4776442495280815,15.557947530308082,15.08030328078,8.879820120674681,9.008830538662112e-4,3.9879554051488806,0.3281216097099634,0.6271668893461996,Welch Two Sample t-test,two.sided,0.005378222602999102
E9PM59;Q9H5J8,TAF1D,TATA box-binding protein-associated factor RNA polymerase I subunit D,0.3876666901815362,15.604791338400677,15.21712464821914,7.211724577620077,0.0014943007443629353,4.289055312597798,0.24230306499803295,0.5330303153650395,Welch Two Sample t-test,two.sided,0.00731526615332266
E9PM92;O00193;E9PQA1;E9PRZ9,C11orf58;SMAP,Small acidic protein,0.027654921618260886,18.92547886222172,18.89782394060346,1.3559862191534238,0.2384253953370846,4.556215775198132,-0.02634507142787987,0.08165491466440165,Welch Two Sample t-test,two.sided,0.3117029250966473
E9PMF9;Q7L1W4,LRRC8D,Volume-regulated anion channel subunit LRRC8D,-0.19262410707456112,13.538522730362434,13.731146837436995,-3.5051303103739175,0.018025271746122572,4.857689652413639,-0.3351440840914663,-0.05010413005765596,Welch Two Sample t-test,two.sided,0.04163342364194273
E9PMG4;Q9BUR4,WRAP53,Telomerase Cajal body protein 1,0.6165282805361105,16.316794069867253,15.700265789331143,12.797033853667465,0.001908845473899992,2.635553304715214,0.450485397614026,0.782571163458195,Welch Two Sample t-test,two.sided,0.008506106105652243
E9PMJ2;J3KP39;Q9BPY3;G3V179,FAM118B,Protein FAM118B,0.145946914753722,15.792055776789494,15.646108862035772,0.49896260376097507,0.6401437247048425,4.7282598661337065,-0.6191352567108728,0.9110290862183168,Welch Two Sample t-test,two.sided,0.7055897285085324
K4DIA7;E9PMR4;P48509;E9PRJ3;E9PP93;E9PK37;E9PSA1;E9PJE8;E9PJC8;E9PLZ6;K4DIB7,CD151,Tetraspanin;CD151 antigen,0.00847518564352967,21.87707599265824,21.86860080701471,0.18829442839077076,0.8584194198368184,4.7528484219584115,-0.10906072897680202,0.12601110026386136,Welch Two Sample t-test,two.sided,0.8896346714672482
E9PMR6;Q9NZN5,ARHGEF12,Rho guanine nucleotide exchange factor 12,0.08183233018506542,17.422765181439313,17.340932851254248,1.8420325774537525,0.20074939468588313,2.099925041875672,-0.10085599004179102,0.26452065041192185,Welch Two Sample t-test,two.sided,0.2710426945758937
E9PMS6;F8WD26;J3KP06;Q8WWI1;E9PMP7;A0A0A0MTE2;E9PMT2;H0Y424;H0YDQ3;H0YDG6;H0YE95;E9PLU6;E9PK58;E9PJ10,LMO7,LIM domain only protein 7,-0.2785900402482362,18.08206069521042,18.360650735458655,-20.946962834229897,7.268395600506165e-4,2.49112957176119,-0.32625350901268546,-0.23092657148378687,Welch Two Sample t-test,two.sided,0.004759673642489302
